course_id,course_name,final_score,cf_score,cbf_score,p_success,job_market,risk_score,explanation
C076,Tourism Management,0.9655659059907414,0.9999999999956349,1.0,0.9106791879903592,0.2222222222222221,0.18,"We've carefully considered your profile and see real potential here. Students with similar backgrounds have succeeded at 91% rates, and this course can help you develop valuable skills for your future."
C009,Introduction to Artificial Intelligence,0.9542659691966993,0.6894093615248462,0.6581808667284479,0.9001066924602666,0.8888888888888888,0.18,"We've carefully considered your profile and see real potential here. Students with similar backgrounds have succeeded at 90% rates, and this course can help you develop valuable skills for your future."
C050,Engineering Mechanics,0.9492948684289754,0.5493846001750246,0.6472546084518285,0.886521505230837,0.3333333333333335,0.18,"We've carefully considered your profile and see real potential here. Students with similar backgrounds have succeeded at 89% rates, and this course can help you develop valuable skills for your future."
C053,Manufacturing Processes,0.9291177228993067,0.4270437547780851,0.8028655461625487,0.882349430588319,0.4444444444444444,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Manufacturing Processes could be a great fit—students with similar experiences have achieved 88% success rates, and your 80% interest match shows real potential."
C079,Sustainable Tourism,0.9293636329322934,0.3859235577711279,0.8222954942015568,0.8991926086015423,0.4444444444444444,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Sustainable Tourism could be a great fit—students with similar experiences have achieved 90% success rates, and your 82% interest match shows real potential."
C054,CAD/CAM,0.9228137181096372,0.4624108207944085,0.6840047770851774,0.8941456739350658,0.4888888888888889,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, CAD/CAM could be a great fit—students with similar experiences have achieved 89% success rates, and your 68% interest match shows real potential."
C005,Data Visualization,0.9021605264867016,0.4752285500197519,0.561286538067611,0.9096753226294539,0.4444444444444444,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Data Visualization could be a great fit—students with similar experiences have achieved 91% success rates, and your 56% interest match shows real potential."
C089,Data Privacy and Law,0.8915620401508872,0.3732383655624061,0.6070834097881442,0.8941456739350658,0.4888888888888889,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Data Privacy and Law could be a great fit—students with similar experiences have achieved 89% success rates, and your 61% interest match shows real potential."
C078,Event Management,0.8964584304144617,0.09047659716163829,0.9373274289770624,0.9055188673706535,0.4000000000000001,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Event Management could be a great fit—students with similar experiences have achieved 91% success rates, and your 94% interest match shows real potential."
C055,Robotics,0.8906695058542822,0.3743719563329156,0.6579104469403054,0.8550403170806888,0.711111111111111,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Robotics could be a great fit—students with similar experiences have achieved 86% success rates, and your 66% interest match shows real potential. Plus, this field offers strong job prospects (71% demand) worth pursuing!"
C077,Hospitality Operations,0.8819913232088631,0.20294046974748411,0.7375524595296666,0.9028331723948547,0.3333333333333335,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Hospitality Operations could be a great fit—students with similar experiences have achieved 90% success rates, and your 74% interest match shows real potential."
C052,Fluid Mechanics,0.8399279537726911,0.27368447258682693,0.6079240717451824,0.871798931715955,0.3333333333333335,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Fluid Mechanics could be a great fit—students with similar experiences have achieved 87% success rates, and your 61% interest match shows real potential."
C056,Mechatronics,0.8298765877918763,0.13381561243573825,0.6612564431173241,0.8619557356640332,0.6222222222222222,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Mechatronics could be a great fit—students with similar experiences have achieved 86% success rates, and your 66% interest match shows real potential. Plus, this field offers strong job prospects (62% demand) worth pursuing!"
C051,Thermodynamics,0.8251113192869701,0.16904658830889913,0.6674829238551142,0.8674493083698352,0.4000000000000001,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Thermodynamics could be a great fit—students with similar experiences have achieved 87% success rates, and your 67% interest match shows real potential."
C088,Technology Ethics,0.6907529073680627,0.41695980337218214,0.530587036047153,0.9170196289539663,0.3333333333333335,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Technology Ethics could be a great fit—students with similar experiences have achieved 92% success rates, and your 53% interest match shows real potential."
C061,Strategic Management,0.6794892739450579,0.3187138412208166,0.5424627937741754,0.8765749871211103,0.4888888888888889,0.18,"We've carefully considered your profile and see genuine opportunity here. While your academic journey has had challenges, Strategic Management could be a great fit—students with similar experiences have achieved 88% success rates, and your 54% interest match shows real potential."
